Price,Close,High,Low,Open,Volume
2019-05-09,57.91979217529297,58.22229232054152,57.25875554325852,57.653495645746986,29556000
2019-05-10,57.90342712402344,58.331885117699095,56.84864546235913,57.9629366500334,31650000
2019-05-13,56.36365509033203,57.12635243643955,55.81370365034524,56.79261252207175,45626000
2019-05-14,55.781959533691406,56.77425786703427,55.7160030496759,56.64780438425735,40392000
2019-05-15,58.06013107299805,58.43205708618332,55.61037718878773,55.66740478478323,59302000
2019-05-16,58.73951721191406,59.21855964212482,57.94359761215228,58.11170663709032,35308000
2019-05-17,57.9599609375,58.82828398541456,57.84292818102137,58.30957232000944,25362000
2019-05-20,56.763851165771484,57.1774327504438,56.44052324213396,57.1774327504438,30602000
2019-05-21,57.248836517333984,57.42537879315505,56.69689882020132,57.250819033139784,20562000
2019-05-22,57.318763732910156,57.71201318585571,57.07825124759412,57.09064953946734,18826000
2019-05-23,56.79756546020508,57.03113533695104,56.19356022860048,56.83376907485774,25214000
2019-05-24,56.463829040527344,57.24487222807381,56.36960656432307,57.127839468018124,18554000
2019-05-28,56.51093673706055,57.35049814373282,56.466799275668336,56.60615046527899,20948000
2019-05-29,55.53798294067383,56.28480881348524,55.14175593690512,56.170749826952495,36230000
2019-05-30,55.610877990722656,55.878169570146916,55.33763507998775,55.548394687102004,18088000
2019-05-31,54.87149429321289,55.21366370909666,54.715284131191986,54.82884749641237,31582000
2019-06-03,51.511260986328125,52.912676521319256,50.930561642121816,52.90920711845489,96890000
2019-06-04,52.292301177978516,52.488184333554216,51.376866936082195,51.79639981884811,60512000
2019-06-05,51.80384063720703,52.4073540441348,51.226614483210554,52.317596014695845,46988000
2019-06-06,51.95856475830078,52.069646185885304,51.35108630948426,51.88170064785095,29020000
2019-06-07,52.98060989379883,53.23153811813064,52.126667734954445,52.281886608217675,43828000
2019-06-10,53.69422149658203,54.29327049002996,53.32328669748126,53.40858028707478,28510000
2019-06-11,53.60892105102539,54.74800885389501,53.53602575753216,54.39988435915306,33508000
2019-06-12,53.512718200683594,53.68231410693232,53.04160963310708,53.55486936276625,23670000
2019-06-13,54.10334014892578,54.38005247721612,53.684802253375025,53.7909236143121,20814000
2019-06-14,53.86976623535156,54.28929914113113,53.630744430671754,54.04035719000536,24582000
2019-06-17,54.246158599853516,54.61262895010507,53.954074216816096,54.00862367387797,19770000
2019-06-18,54.80900573730469,55.480454366679965,54.588329772186036,55.11943973209184,34526000
2019-06-19,54.772804260253906,55.01678993060054,54.3522800809747,54.90818664522496,26714000
2019-06-20,55.20374298095703,55.675842832879255,54.896282754909315,55.62525840880668,24018000
2019-06-21,55.807254791259766,55.8667605353799,55.031167921989905,55.03811051103241,50774000
2019-06-24,55.3773078918457,55.71799417825217,55.2091988625177,55.54095626027802,24236000
2019-06-25,53.93324661254883,55.32771960798602,53.78546593566501,55.29697547638443,31644000
2019-06-26,53.57321548461914,54.30715117461106,53.244435661949076,54.10283853958426,34698000
2019-06-27,53.39023208618164,53.97688276176525,53.35155032511696,53.89208480492423,24078000
2019-06-28,53.696197509765625,53.696197509765625,53.24988553860291,53.41998085161553,33672000
2019-07-01,54.54915237426758,54.975132239253035,54.317565004800876,54.60072427201799,29196000
2019-07-02,55.17398452758789,55.18836533360532,54.53278445376274,54.78866897188339,20630000
2019-07-03,55.689231872558594,55.937182567074046,55.28556665878392,55.46656960642054,20154000
2019-07-05,56.16926193237305,56.267449439103345,55.41698037071205,55.509712175195695,29794000
2019-07-08,55.38176727294922,55.89849638868421,55.13232971119803,55.832044276038815,29888000
2019-07-09,55.753700256347656,55.93073818027176,54.90372299665193,55.060924410090834,29472000
2019-07-10,56.577884674072266,56.64879744980509,56.06958501516339,56.15190482385969,30710000
2019-07-11,56.73508071899414,57.1893265411279,56.509448478196965,56.838228291488626,26004000
2019-07-12,56.79756546020508,56.90468185042832,56.46134742073141,56.678054562551374,21878000
2019-07-15,57.053951263427734,57.06238073945204,56.53275766886727,56.797567312446006,21164000
2019-07-16,57.20024108886719,57.454143110765386,56.86649740090158,56.86649740090158,25352000
2019-07-17,56.86699295043945,57.44719661941484,56.86104161971904,57.07427935063654,19538000
2019-07-18,56.89179229736328,56.937912278185706,56.178688104960315,56.63193893207649,25450000
2019-07-19,56.11372375488281,57.10701346740965,56.09884731784858,56.99494077721943,23184000
2019-07-22,56.49358367919922,56.5337523292604,55.79932472787328,56.30811627836571,28914000
2019-07-23,56.93196487426758,56.972133526455515,56.17819635145037,56.703850666264636,20648000
2019-07-24,56.51936721801758,56.80351773742075,55.9629650578798,56.166782066704464,27192000
2019-07-25,56.3314208984375,56.710785142445566,55.72493373698606,56.480684667806266,54762000
2019-07-26,61.750633239746094,62.899633620136136,60.89669100249889,60.89669100249889,121216000
2019-07-29,61.5830192565918,61.93759072921905,61.00578929366304,61.615749687673656,41382000
2019-07-30,60.89668655395508,61.338534076359196,60.763782330236175,60.84709339281561,28616000
2019-07-31,60.41070556640625,61.23935558655443,59.91381293169934,60.74147169390751,39960000
2019-08-01,60.092342376708984,61.30829058838138,59.855299290763305,60.38244425053876,35426000
2019-08-02,59.325679779052734,59.97927445212376,59.01226820912673,59.65694156007643,34910000
2019-08-05,57.26421356201172,58.36164587535304,56.66913339378549,58.16774521908615,47840000
2019-08-06,58.07402038574219,58.585789466166396,57.60043365387298,57.79829933606973,36014000
2019-08-07,58.31353759765625,58.50991259599976,57.07031103119351,57.415457948557986,30686000
2019-08-08,59.81513977050781,59.8196004319815,58.21883209481856,58.835235732320946,30116000
2019-08-09,58.95771026611328,59.729332633436535,58.75885334363054,59.507665429643886,20418000
2019-08-12,58.24361801147461,58.79456449803921,57.956989332399154,58.51636529528973,22064000
2019-08-13,59.346004486083984,59.77744005135375,58.16873811379174,58.236177705409375,28434000
2019-08-14,57.735321044921875,58.65472037886696,57.57762400887697,58.32147609646405,35430000
2019-08-15,57.98674392700195,58.338833478015275,57.673336139235964,57.94261024465843,28506000
2019-08-16,58.4771842956543,58.706789142255424,58.169232238556425,58.55553907300545,24916000
2019-08-19,59.52998733520508,59.973821209229875,59.03210341664599,59.10301619731981,24450000
2019-08-20,58.69141387939453,59.40898625651532,58.667612338630086,59.27757269477436,20206000
2019-08-21,59.09061050415039,59.535931209383754,58.90911194530776,59.30087445828363,14152000
2019-08-22,59.08763885498047,59.44766221200768,58.462306455222475,59.20070279076517,17352000
2019-08-23,57.2061882019043,59.29343678132842,57.02865467291314,58.77273885572667,36254000
2019-08-26,58.07897186279297,58.11269354773847,57.26916714544354,57.49728131019381,21166000
2019-08-27,58.06112289428711,58.76431065349717,57.750688918009565,58.665131895722865,23460000
2019-08-28,58.206424713134766,58.44197711290288,57.53695860411005,57.76606404377272,16810000
2019-08-29,59.222530364990234,59.46799913570808,58.778200865886134,58.834732838328584,19636000
2019-08-30,59.03854751586914,59.52552378949316,58.80001756048857,59.52552378949316,18064000
2019-09-03,57.998146057128906,58.96663910917383,57.70853983655242,58.6081026279347,25908000
2019-09-04,58.628929138183594,58.758360180871236,58.09633231531948,58.48908610398832,21312000
2019-09-05,60.1126708984375,60.202428928101156,59.145660927110434,59.19376342201617,26394000
2019-09-06,59.82157516479492,60.15035498422867,59.66982568519,59.961418199155226,18972000
2019-09-09,59.76950454711914,60.52724177884461,59.16946434430124,59.859262573889204,31854000
2019-09-10,59.79083251953125,60.00407027598134,59.31030317816098,59.31427199359215,27922000
2019-09-11,60.499961853027344,60.62245029793359,59.621223128272874,59.70106478550397,23522000
2019-09-12,61.24233627319336,61.6117803963693,60.626920181517946,60.67204890408515,31644000
2019-09-13,61.49325942993164,61.543843853790506,60.85106803599327,61.1005056186852,23676000
2019-09-16,61.07670593261719,61.44317628509797,60.7573430356787,61.01769203079815,28218000
2019-09-17,60.98991775512695,61.24381977351142,60.66609421799294,61.0767020090676,20806000
2019-09-18,61.12728500366211,61.305314179116046,60.32491842507922,61.00777409952357,17440000
2019-09-19,61.429779052734375,61.7069869660326,61.11041997916298,61.110915608100754,16554000
2019-09-20,60.987937927246094,61.63062495673353,60.677503925418364,61.1763790958977,37692000
2019-09-23,61.228450775146484,61.47590584591397,60.68742065329418,60.82577681081877,20798000
2019-09-24,60.417152404785156,61.84435574702612,60.03580563912053,61.49177059527287,35804000
2019-09-25,61.786338806152344,61.88948638631289,59.96439530930563,60.30210403560612,26798000
2019-09-26,61.60533142089844,61.72335921962047,61.08612412271206,61.597893202784334,23166000
2019-09-27,60.7950325012207,61.739228430196306,60.261936228243556,61.63211203323862,34122000
2019-09-30,60.55649948120117,60.86742909728757,60.17366583073107,60.529720383312835,24470000
2019-10-01,59.805702209472656,61.137695539374256,59.78338755668688,60.62344456685001,24504000
2019-10-02,58.413211822509766,59.446670055970316,58.15088034087869,59.33459737978191,33030000
2019-10-03,58.9839973449707,59.06185271029427,57.68027372624603,58.68199283402586,28368000
2019-10-04,60.051673889160156,60.126059852899786,59.06036675741137,59.225006378900304,24282000
2019-10-07,59.91728591918945,60.44591775673963,59.72438030235349,59.85529824338502,17040000
2019-10-08,59.01871109008789,59.8488480012925,58.98647628974032,59.44716909480171,20086000
2019-10-09,59.62718200683594,59.927699641137494,59.41493551600524,59.57412322169878,15948000
2019-10-10,59.977783203125,60.28276149090134,59.402043943686515,59.43873940465418,12842000
2019-10-11,60.2872314453125,60.93388732436439,60.18457948758753,60.699821792276346,22330000
2019-10-14,60.38938522338867,60.791559777175,60.09730084134501,60.19697523733652,13296000
2019-10-15,61.60285568237305,61.845350682590826,60.545595793212456,60.57435740883413,27584000
2019-10-16,61.640541076660156,62.19545255415238,61.41887007961055,61.58152717988631,22986000
2019-10-17,62.126522064208984,62.66953466128119,61.98122332826266,62.05709617616047,20958000
2019-10-18,61.71046447753906,62.389846945762145,61.49871362002821,62.22025103490627,31624000
2019-10-21,61.704017639160156,62.161732887897436,61.4912755232847,61.92320671511835,18094000
2019-10-22,61.5512809753418,61.92469389924961,61.48433322932572,61.71393429825658,22862000
2019-10-23,62.36604690551758,62.38637904416191,61.50218828619417,61.50218828619417,21282000
2019-10-24,62.4394416809082,62.62738721875629,62.10421109911762,62.4394416809082,20224000
2019-10-25,62.696815490722656,62.88030037467045,61.945525156371076,62.08685509100352,27104000
2019-10-28,63.920692443847656,64.42948773482502,63.09402873253453,63.22742480904613,65428000
2019-10-29,62.516300201416016,63.515045484840925,62.26586759957852,63.277011173374184,52654000
2019-10-30,62.518287658691406,62.881288593585026,62.01990812718135,62.243062237785296,29204000
2019-10-31,62.42406463623047,62.80690207723711,61.96188494144521,62.4835741641349,31904000
2019-11-01,63.0910530090332,63.128247882999425,62.469193761287805,62.77119828011663,28812000
2019-11-04,63.95194625854492,64.09526250421814,63.2824800567725,63.2824800567725,30632000
2019-11-05,64.04268646240234,64.3303101709865,63.94053392587644,64.03078380018343,25148000
2019-11-06,64.0213623046875,64.11954980825729,63.58794801450021,63.97574173910318,24626000
2019-11-07,64.81132507324219,65.59038559720727,64.15723113293129,64.18351081473759,45140000
2019-11-08,64.91349029541016,65.3156686315191,64.54255550304146,64.54255550304146,30392000
2019-11-11,64.38188171386719,64.71016967774435,64.26237082066733,64.6655328055786,17234000
2019-11-12,64.32881927490234,64.93084578823698,64.1815380183125,64.39626264933645,28852000
2019-11-13,64.27774047851562,64.59214327190867,64.0778922913603,64.12896855743497,20538000
2019-11-14,64.92092895507812,65.2467425940979,64.16666485694327,64.21923179805225,28948000
2019-11-15,66.13043975830078,66.13043975830078,65.05680894885906,65.21351851896138,39286000
2019-11-18,65.45103454589844,66.14926594329124,65.26854474247473,66.0709111763446,27984000
2019-11-19,65.09152221679688,65.78776365557141,65.05085793939855,65.78776365557141,21864000
2019-11-20,64.55941009521484,65.12225535670059,63.93209524218455,65.03051482525855,28892000
2019-11-21,64.47412109375,65.01861677417807,64.0084644651908,64.429983634344,25546000
2019-11-22,64.15327453613281,64.80935107828645,63.93954116731855,64.61594984719095,27776000
2019-11-25,64.74686431884766,64.9834117548011,64.2494798442598,64.28171464407943,23590000
2019-11-26,65.11186218261719,65.16194720019347,64.66753641859252,64.95862578876051,21910000
2019-11-27,65.0687026977539,65.34194936654697,64.93679729689542,65.23185920608975,18808000
2019-11-29,64.67000579833984,64.96060330050324,64.62735900315724,64.79448056426496,12802000
2019-12-02,63.91474914550781,64.73695603423214,63.494221183343114,64.59413164762199,26538000
2019-12-03,64.20634460449219,64.32982812282205,63.32909632147631,63.408934216071465,25270000
2019-12-04,65.40641021728516,65.67072799346127,64.61842074496396,64.76967458905614,35506000
2019-12-05,65.80413055419922,65.85471497800788,65.17731500969089,65.80611307013608,24408000
2019-12-06,66.4205322265625,66.57326918477894,66.01587954811114,66.09125298585175,32968000
2019-12-09,66.59905242919922,67.32108920325197,66.25588803414921,66.39424795925537,30842000
2019-12-10,66.59410095214844,66.84750734354655,66.15324087344685,66.44781095349515,17606000
2019-12-11,66.66153717041016,66.94122321757087,66.50532704223565,66.86237660181916,20480000
2019-12-12,66.8718032836914,67.17380400933571,66.36152489090372,66.60996742116053,29114000
2019-12-13,66.79147338867188,67.01363625823237,66.53311068368981,66.84254966147614,33170000
2019-12-16,67.47730255126953,67.61763743195066,66.9769367408565,67.19463514036022,28128000
2019-12-17,67.1891860961914,67.6573171534824,66.98487344177842,67.56210341582532,32948000
2019-12-18,67.04139709472656,67.4143143680724,66.96949684654093,67.29381221564596,23330000
2019-12-19,67.26604461669922,67.32010222500082,66.88469785220087,67.04139984132713,28922000
2019-12-20,67.00719451904297,67.64095652823882,66.98289734500527,67.59632721261303,50090000
2019-12-23,66.9779281616211,67.53432652981114,66.84750585981473,67.37960705864413,19936000
2019-12-24,66.67047119140625,67.04636985521093,66.65758483706803,66.95710366488333,13468000
2019-12-26,67.56507110595703,67.60127850432504,66.72402280476463,66.7755984844462,23662000
2019-12-27,67.17678833007812,67.79220062509113,67.0954597754636,67.64094676593687,23212000
2019-12-30,66.43639373779297,67.2938090758565,66.34366194444391,67.28438834287245,19994000
2019-12-31,66.4205322265625,66.48351115662122,66.06050885599129,66.24200742818745,19514000
2020-01-02,67.8730239868164,67.8730239868164,66.77262179859589,66.86783552352698,27278000
2020-01-03,67.5179672241211,68.12445823826381,66.81378810886194,66.84751358265558,23408000
2020-01-06,69.3176040649414,69.34289249663834,66.99628947924452,67.02752545950933,46768000
2020-01-07,69.1836929321289,69.59975639798446,69.00765007438353,69.44900196622598,34330000
2020-01-08,69.67613220214844,70.01384094895226,69.06071987013958,69.16931937572167,35314000
2020-01-09,70.4075927734375,70.84844534169663,69.93251531775391,70.51371035496315,33200000
2020-01-10,70.8623275756836,71.15888019723822,70.39816911178163,70.887623572567,26258000
2020-01-13,71.41129302978516,71.48319328541425,70.68429987467893,71.17424616511539,30730000
2020-01-14,70.94316864013672,71.54023138512193,70.8033180140317,71.40980906115557,26076000
2020-01-15,71.37012481689453,71.44847959482189,70.99621627063644,71.06365964443332,21550000
2020-01-16,71.91364288330078,71.94042198348346,71.40980383677255,71.6800692002155,26080000
2020-01-17,73.36958312988281,73.42065938712786,72.23049935793628,72.52754373636758,52424000
2020-01-21,73.50499725341797,73.8833703111752,72.9079269291361,73.34382322473569,48930000
2020-01-22,73.5853271484375,74.4139810964145,73.52532954862096,73.87593224630034,28458000
2020-01-23,73.62598419189453,74.06287927041319,73.40927702930324,73.7678173234847,26650000
2020-01-24,72.70758819580078,74.09759693255747,72.55930808667824,74.02916228737966,29786000
2020-01-27,70.99969482421875,71.2402073113937,70.3932038265922,70.99027408970458,34132000
2020-01-28,71.93049621582031,72.14373017574707,70.93174708981847,71.49608309873746,29724000
2020-01-29,72.23796081542969,72.60691311591184,71.6770979293156,72.32523692514812,21566000
2020-01-30,72.11647033691406,72.16605594211511,71.16185852623971,71.3155867660176,27110000
2020-01-31,71.0517578125,72.88113570169328,70.76809913606537,72.79137767304688,43822000
2020-02-03,73.52233123779297,73.70581988228172,72.23348411673724,72.4834173068673,71636000
2020-02-04,71.67807006835938,72.76557823057527,70.51865409884083,72.12835081014188,95880000
2020-02-05,71.70982360839844,72.6287273771318,70.89803624268711,72.58062487826129,36376000
2020-02-06,73.19356536865234,73.47077712052415,71.92951458765228,72.00389677738615,37822000
2020-02-07,73.34925842285156,73.65374104853788,72.66987603102721,72.7680635245262,28360000
2020-02-10,74.81466674804688,74.82557815384178,73.15538394851609,73.25605339560026,38302000
2020-02-11,74.88407897949219,75.86696037630945,74.65546917942103,75.0432628919805,34852000
2020-02-12,75.30907440185547,75.39188605793423,74.81515553865327,75.17170572454793,31042000
2020-02-13,75.0492172241211,75.67206769006663,74.58356058636251,74.88110442539049,22914000
2020-02-14,75.31402587890625,75.37948673334321,74.66042372612603,75.1057482210196,23198000
2020-02-18,75.3492431640625,75.90068528400265,74.93119712969819,75.09633617170891,25642000
2020-02-19,75.61851501464844,75.90961191518042,75.42561318763357,75.73406088600595,22746000
2020-02-20,75.22773742675781,75.72760378166284,74.5964499569271,75.32790743593482,25962000
2020-02-21,73.56498718261719,74.92822421575049,73.31852714783577,74.61233071932669,42520000
2020-02-24,70.41104888916016,71.23028195609393,69.76290996883232,70.56924154888083,49560000
2020-02-25,68.747802734375,71.25358934741597,68.45522273304678,70.96349127440813,51580000
2020-02-26,68.95359802246094,70.10409286099708,68.26330414608108,69.17725154343258,49776000
2020-02-27,65.20855712890625,67.90874408927081,65.1733485505735,67.39994872991234,62290000
2020-02-28,66.41358947753906,66.5722739739755,62.89070436777219,63.193204492422396,80198000
2020-03-02,68.747802734375,68.80482655090657,65.71685370908082,67.01562107182778,55430000
2020-03-03,66.33773040771484,69.83234647642158,65.9172024061507,69.31115659442902,56602000
2020-03-04,68.51372528076172,68.57223975745971,66.30200215797164,67.39100098675043,47598000
2020-03-05,65.19912719726562,67.1267001116849,64.54850635828724,66.72600490557134,54380000
2020-03-06,64.25592041015625,64.60354166751632,62.34521040783532,62.976989720868964,64640000
2020-03-09,60.291194915771484,62.12305473019572,59.410969211683664,59.75413363170908,69252000
2020-03-10,63.23585891723633,63.26958060641454,60.227720041786434,62.20537812329449,54872000
2020-03-11,60.0486946105957,62.331330808488026,59.06879454018304,61.901881557171805,54732000
2020-03-12,55.121917724609375,58.95027701384307,54.96918076424431,55.67088167650658,94326000
2020-03-13,60.2158088684082,60.22225582752725,55.1586045335911,58.267907841766,79400000
2020-03-16,53.21022415161133,56.804018794531096,52.916649086900534,54.03391417465646,96520000
2020-03-17,55.44474411010742,55.838489131429206,52.025010467573345,54.08498426425192,83194000
2020-03-18,54.11226272583008,54.79660524805218,51.424970078900834,52.56257095894629,93044000
2020-03-19,55.127864837646484,57.15808582583962,52.3448667261516,53.96497557597738,74064000
2020-03-20,52.972686767578125,56.45738636340472,52.669690960507474,56.08149147147877,82878000
2020-03-23,52.27445602416992,52.90821796189328,50.03000577141187,52.38553745507887,83672000
2020-03-24,56.037353515625,56.20199314271335,53.87621437902263,54.7465237525493,72468000
2020-03-25,54.62948989868164,56.83872770368654,53.70661738665387,55.768078303487016,90324000
2020-03-26,57.66936492919922,58.09385791556648,54.15392148412994,55.27912035694048,76562000
2020-03-27,55.057945251464844,57.08072809299469,54.747511270415124,55.91139183073007,62794000
2020-03-30,56.845672607421875,57.07825124528936,54.47427322697181,56.16777698755777,58736000
2020-03-31,57.62126159667969,58.1890670209297,56.37010109392205,56.96568065824295,65228000
2020-04-01,54.65329360961914,56.008097373392076,54.22632246793909,55.73931890160938,51970000
2020-04-02,55.39368438720703,55.67833059532036,54.20848015452282,54.549162715242865,56410000
2020-04-03,54.1871452331543,55.480952582798494,53.31337022040269,55.278626230732584,51374000
2020-04-06,58.674556732177734,59.049456548881885,55.78890642035224,56.18562904604569,63320000
2020-04-07,58.643310546875,60.5386486628773,58.37998779819019,60.35169060850497,61620000
2020-04-08,59.85529327392578,60.247055806495155,58.71224047565648,59.661892044147216,40334000
2020-04-09,59.8339729309082,60.59865278435294,59.132272009251324,60.40971598898934,54028000
2020-04-13,60.02439880371094,60.228215813461446,58.63190840184953,59.582551251526766,38702000
